id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season
40152038923,401520389,LSU,SEC,Florida,SEC,23,True,4,51,49,"{'minutes': 6, 'seconds': 34}",4,100,0,"{'minutes': 2, 'seconds': 25}","{'minutes': 4, 'seconds': 9}",7,49,TD,True,45,35,52,35,2023
40152038924,401520389,Florida,SEC,LSU,SEC,24,False,4,75,75,"{'minutes': 2, 'seconds': 25}",4,5,5,"{'minutes': 0, 'seconds': 28}","{'minutes': 1, 'seconds': 57}",13,70,DOWNS,False,35,52,35,52,2023
40152038925,401520389,LSU,SEC,Florida,SEC,25,False,4,5,95,"{'minutes': 0, 'seconds': 28}",4,4,96,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 28}",1,-1,END OF GAME,True,52,35,52,35,2023
4015204131,401520413,Missouri,SEC,Florida,SEC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,95,5,"{'minutes': 10, 'seconds': 33}","{'minutes': 4, 'seconds': 27}",12,70,FG,True,0,0,3,0,2023
4015204132,401520413,Florida,SEC,Missouri,SEC,2,True,1,80,80,"{'minutes': 10, 'seconds': 28}",1,0,0,"{'minutes': 7, 'seconds': 49}","{'minutes': 2, 'seconds': 39}",5,80,TD,False,0,3,7,3,2023
4015204133,401520413,Missouri,SEC,Florida,SEC,3,False,1,32,68,"{'minutes': 7, 'seconds': 43}",1,34,66,"{'minutes': 6, 'seconds': 8}","{'minutes': 1, 'seconds': 35}",3,2,PUNT,True,3,7,3,7,2023
4015204134,401520413,Florida,SEC,Missouri,SEC,4,False,1,84,84,"{'minutes': 6, 'seconds': 8}",1,85,85,"{'minutes': 3, 'seconds': 42}","{'minutes': 2, 'seconds': 26}",3,-1,PUNT,False,7,3,7,3,2023
4015204135,401520413,Missouri,SEC,Florida,SEC,5,False,1,30,70,"{'minutes': 3, 'seconds': 42}",1,44,56,"{'minutes': 1, 'seconds': 47}","{'minutes': 1, 'seconds': 55}",5,14,PUNT,True,3,7,3,7,2023
4015204136,401520413,Florida,SEC,Missouri,SEC,6,False,1,89,89,"{'minutes': 1, 'seconds': 47}",1,87,87,"{'minutes': 0, 'seconds': 27}","{'minutes': 1, 'seconds': 20}",3,2,PUNT,False,7,3,7,3,2023
4015204137,401520413,Missouri,SEC,Florida,SEC,7,True,1,49,51,"{'minutes': 0, 'seconds': 27}",2,100,0,"{'minutes': 14, 'seconds': 29}","{'minutes': 0, 'seconds': 58}",3,51,TD,True,3,7,10,7,2023
4015204138,401520413,Florida,SEC,Missouri,SEC,8,False,2,75,75,"{'minutes': 14, 'seconds': 29}",2,51,51,"{'minutes': 9, 'seconds': 43}","{'minutes': 4, 'seconds': 46}",8,24,PUNT,False,7,10,7,10,2023
4015204139,401520413,Missouri,SEC,Florida,SEC,9,False,2,10,90,"{'minutes': 9, 'seconds': 43}",2,36,64,"{'minutes': 6, 'seconds': 21}","{'minutes': 3, 'seconds': 22}",6,26,PUNT,True,10,7,10,7,2023
40152041310,401520413,Florida,SEC,Missouri,SEC,10,False,2,80,80,"{'minutes': 6, 'seconds': 21}",2,60,60,"{'minutes': 4, 'seconds': 3}","{'minutes': 2, 'seconds': 18}",5,20,INT,False,7,10,7,10,2023
40152041311,401520413,Missouri,SEC,Florida,SEC,11,True,2,37,63,"{'minutes': 4, 'seconds': 3}",2,78,22,"{'minutes': 1, 'seconds': 21}","{'minutes': 2, 'seconds': 42}",7,41,FG,True,10,7,13,7,2023
40152041312,401520413,Florida,SEC,Missouri,SEC,12,False,2,75,75,"{'minutes': 1, 'seconds': 21}",2,45,45,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 21}",6,30,END OF HALF,False,7,13,7,13,2023
40152041313,401520413,Florida,SEC,Missouri,SEC,13,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 11, 'seconds': 54}","{'minutes': 3, 'seconds': 6}",4,75,TD,False,7,13,14,13,2023
40152041314,401520413,Missouri,SEC,Florida,SEC,14,True,3,25,75,"{'minutes': 11, 'seconds': 54}",3,100,0,"{'minutes': 8, 'seconds': 53}","{'minutes': 3, 'seconds': 1}",8,75,TD,True,13,14,20,14,2023
40152041315,401520413,Florida,SEC,Missouri,SEC,15,True,3,82,82,"{'minutes': 8, 'seconds': 46}",3,0,0,"{'minutes': 7, 'seconds': 16}","{'minutes': 1, 'seconds': 30}",3,82,TD,False,14,20,21,20,2023
40152041316,401520413,Missouri,SEC,Florida,SEC,16,True,3,25,75,"{'minutes': 7, 'seconds': 16}",3,93,7,"{'minutes': 3, 'seconds': 53}","{'minutes': 3, 'seconds': 23}",7,68,FG,True,20,21,23,21,2023
40152041317,401520413,Florida,SEC,Missouri,SEC,17,False,3,75,75,"{'minutes': 3, 'seconds': 53}",4,19,19,"{'minutes': 14, 'seconds': 1}","{'minutes': 4, 'seconds': 52}",10,56,FUMBLE,False,21,23,21,23,2023
40152041318,401520413,Missouri,SEC,Florida,SEC,18,True,4,19,81,"{'minutes': 14, 'seconds': 1}",4,100,0,"{'minutes': 13, 'seconds': 14}","{'minutes': 0, 'seconds': 47}",2,81,TD,True,23,21,30,21,2023
40152041319,401520413,Florida,SEC,Missouri,SEC,19,True,4,75,75,"{'minutes': 13, 'seconds': 14}",4,0,0,"{'minutes': 7, 'seconds': 49}","{'minutes': 5, 'seconds': 25}",10,75,TD,False,21,30,28,30,2023
40152041320,401520413,Missouri,SEC,Florida,SEC,20,False,4,25,75,"{'minutes': 7, 'seconds': 49}",4,36,64,"{'minutes': 4, 'seconds': 44}","{'minutes': 3, 'seconds': 5}",6,11,PUNT,True,30,28,30,28,2023
40152041321,401520413,Florida,SEC,Missouri,SEC,21,True,4,62,62,"{'minutes': 4, 'seconds': 44}",4,17,17,"{'minutes': 1, 'seconds': 36}","{'minutes': 3, 'seconds': 8}",8,45,FG,False,28,30,31,30,2023
