season,team,conference,statName,statValue
2022,Kentucky,SEC,interceptionYards,144
2022,Kentucky,SEC,interceptionYardsOpponent,251
2022,Kentucky,SEC,kickReturns,27
2022,Kentucky,SEC,kickReturnsOpponent,14
2022,Kentucky,SEC,kickReturnTDs,1
2022,Kentucky,SEC,kickReturnTDsOpponent,0
2022,Kentucky,SEC,kickReturnYards,506
2022,Kentucky,SEC,kickReturnYardsOpponent,334
2022,Kentucky,SEC,netPassingYards,2710
2022,Kentucky,SEC,netPassingYardsOpponent,2220
2022,Kentucky,SEC,passAttempts,349
2022,Kentucky,SEC,passAttemptsOpponent,346
2022,Kentucky,SEC,passCompletions,224
2022,Kentucky,SEC,passCompletionsOpponent,206
2022,Kentucky,SEC,passesIntercepted,10
2022,Kentucky,SEC,passesInterceptedOpponent,13
2022,Kentucky,SEC,passingTDs,21
2022,Kentucky,SEC,passingTDsOpponent,10
2022,Kentucky,SEC,penalties,74
2022,Kentucky,SEC,penaltiesOpponent,74
2022,Kentucky,SEC,penaltyYards,514
2022,Kentucky,SEC,penaltyYardsOpponent,644
2022,Kentucky,SEC,possessionTime,25845
2022,Kentucky,SEC,possessionTimeOpponent,20915
2022,Kentucky,SEC,puntReturns,23
2022,Kentucky,SEC,puntReturnsOpponent,12
2022,Kentucky,SEC,puntReturnTDs,0
2022,Kentucky,SEC,puntReturnTDsOpponent,0
2022,Kentucky,SEC,puntReturnYards,114
2022,Kentucky,SEC,puntReturnYardsOpponent,167
2022,Kentucky,SEC,rushingAttempts,463
2022,Kentucky,SEC,rushingAttemptsOpponent,433
2022,Kentucky,SEC,rushingTDs,9
2022,Kentucky,SEC,rushingTDsOpponent,16
2022,Kentucky,SEC,rushingYards,1511
2022,Kentucky,SEC,rushingYardsOpponent,1828
2022,Kentucky,SEC,sacks,19
2022,Kentucky,SEC,sacksOpponent,47
2022,Kentucky,SEC,tacklesForLoss,52
2022,Kentucky,SEC,tacklesForLossOpponent,87
2022,Kentucky,SEC,thirdDownConversions,58
2022,Kentucky,SEC,thirdDownConversionsOpponent,57
2022,Kentucky,SEC,thirdDowns,170
2022,Kentucky,SEC,thirdDownsOpponent,171
2022,Kentucky,SEC,totalYards,4221
2022,Kentucky,SEC,totalYardsOpponent,4048
2022,Kentucky,SEC,turnovers,19
2022,Kentucky,SEC,turnoversOpponent,16
2022,LSU,SEC,firstDowns,345
2022,LSU,SEC,firstDownsOpponent,264
2022,LSU,SEC,fourthDownConversions,11
2022,LSU,SEC,fourthDownConversionsOpponent,12
2022,LSU,SEC,fourthDowns,22
2022,LSU,SEC,fourthDownsOpponent,30
2022,LSU,SEC,fumblesLost,12
2022,LSU,SEC,fumblesLostOpponent,11
2022,LSU,SEC,fumblesRecovered,19
2022,LSU,SEC,fumblesRecoveredOpponent,16
2022,LSU,SEC,games,14
2022,LSU,SEC,interceptions,7
2022,LSU,SEC,interceptionsOpponent,9
2022,LSU,SEC,interceptionTDs,2
2022,LSU,SEC,interceptionTDsOpponent,1
2022,LSU,SEC,interceptionYards,197
2022,LSU,SEC,interceptionYardsOpponent,114
2022,LSU,SEC,kickReturns,17
2022,LSU,SEC,kickReturnsOpponent,30
2022,LSU,SEC,kickReturnTDs,0
2022,LSU,SEC,kickReturnTDsOpponent,0
2022,LSU,SEC,kickReturnYards,337
2022,LSU,SEC,kickReturnYardsOpponent,686
2022,LSU,SEC,netPassingYards,3770
2022,LSU,SEC,netPassingYardsOpponent,2885
2022,LSU,SEC,passAttempts,480
2022,LSU,SEC,passAttemptsOpponent,424
2022,LSU,SEC,passCompletions,322
2022,LSU,SEC,passCompletionsOpponent,237
2022,LSU,SEC,passesIntercepted,9
2022,LSU,SEC,passesInterceptedOpponent,7
2022,LSU,SEC,passingTDs,23
2022,LSU,SEC,passingTDsOpponent,17
2022,LSU,SEC,penalties,84
2022,LSU,SEC,penaltiesOpponent,80
2022,LSU,SEC,penaltyYards,730
2022,LSU,SEC,penaltyYardsOpponent,770
2022,LSU,SEC,possessionTime,26058
2022,LSU,SEC,possessionTimeOpponent,24308
2022,LSU,SEC,puntReturns,17
2022,LSU,SEC,puntReturnsOpponent,17
2022,LSU,SEC,puntReturnTDs,0
2022,LSU,SEC,puntReturnTDsOpponent,0
2022,LSU,SEC,puntReturnYards,88
2022,LSU,SEC,puntReturnYardsOpponent,186
2022,LSU,SEC,rushingAttempts,518
2022,LSU,SEC,rushingAttemptsOpponent,505
2022,LSU,SEC,rushingTDs,39
2022,LSU,SEC,rushingTDsOpponent,18
2022,LSU,SEC,rushingYards,2573
2022,LSU,SEC,rushingYardsOpponent,2072
2022,LSU,SEC,sacks,27
2022,LSU,SEC,sacksOpponent,45
2022,LSU,SEC,tacklesForLoss,67
2022,LSU,SEC,tacklesForLossOpponent,74
2022,LSU,SEC,thirdDownConversions,87
2022,LSU,SEC,thirdDownConversionsOpponent,78
2022,LSU,SEC,thirdDowns,179
2022,LSU,SEC,thirdDownsOpponent,200
2022,LSU,SEC,totalYards,6343
2022,LSU,SEC,totalYardsOpponent,4957
2022,LSU,SEC,turnovers,19
2022,LSU,SEC,turnoversOpponent,20
2022,Mississippi State,SEC,firstDowns,296
2022,Mississippi State,SEC,firstDownsOpponent,240
