id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season,result_cat,scored,empty,quick_score,explosive
40140392814,401403928,Florida,SEC,Georgia,SEC,14,False,2,85,85,"{'minutes': 2, 'seconds': 8}",2,84,84,"{'minutes': 1, 'seconds': 2}","{'minutes': 1, 'seconds': 6}",3,1,PUNT,False,3,21,3,21,2022,punt,False,True,False,False
40140392816,401403928,Florida,SEC,Georgia,SEC,16,False,2,75,75,"{'minutes': 0, 'seconds': 17}",2,66,66,"{'minutes': 0, 'seconds': 10}","{'minutes': 0, 'seconds': 7}",2,9,END OF HALF,False,3,28,3,28,2022,end_of_half,False,False,False,False
40140392817,401403928,Florida,SEC,Georgia,SEC,17,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 9, 'seconds': 34}","{'minutes': 5, 'seconds': 26}",13,75,TD,False,3,28,10,28,2022,touchdown,True,False,False,True
40140392819,401403928,Florida,SEC,Georgia,SEC,19,True,3,27,27,"{'minutes': 9, 'seconds': 17}",3,10,10,"{'minutes': 6, 'seconds': 7}","{'minutes': 3, 'seconds': 10}",7,17,FG,False,10,28,13,28,2022,field_goal,True,False,False,False
40140392821,401403928,Florida,SEC,Georgia,SEC,21,True,3,82,82,"{'minutes': 4, 'seconds': 27}",3,0,0,"{'minutes': 3, 'seconds': 31}","{'minutes': 0, 'seconds': 56}",3,82,TD,False,13,28,20,28,2022,touchdown,True,False,True,True
40140392823,401403928,Florida,SEC,Georgia,SEC,23,False,3,75,75,"{'minutes': 0, 'seconds': 35}",4,51,51,"{'minutes': 13, 'seconds': 58}","{'minutes': 1, 'seconds': 37}",5,24,DOWNS,False,20,35,20,35,2022,turnover_downs,False,True,False,False
40140392825,401403928,Florida,SEC,Georgia,SEC,25,False,4,75,75,"{'minutes': 11, 'seconds': 44}",4,15,15,"{'minutes': 8, 'seconds': 59}","{'minutes': 2, 'seconds': 45}",9,60,DOWNS,False,20,42,20,42,2022,turnover_downs,False,True,False,False
40140392827,401403928,Florida,SEC,Georgia,SEC,27,False,4,66,66,"{'minutes': 1, 'seconds': 32}",4,26,26,"{'minutes': 0, 'seconds': 6}","{'minutes': 1, 'seconds': 26}",7,40,DOWNS,False,20,42,20,42,2022,turnover_downs,False,True,False,False
4014039371,401403937,Florida,SEC,Texas A&M,SEC,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,33,33,"{'minutes': 10, 'seconds': 41}","{'minutes': 4, 'seconds': 19}",9,42,FG,False,0,0,3,0,2022,field_goal,True,False,False,True
4014039373,401403937,Florida,SEC,Texas A&M,SEC,3,True,1,75,75,"{'minutes': 9, 'seconds': 21}",1,0,0,"{'minutes': 6, 'seconds': 1}","{'minutes': 3, 'seconds': 20}",8,75,TD,False,3,7,10,7,2022,touchdown,True,False,False,True
4014039375,401403937,Florida,SEC,Texas A&M,SEC,5,True,1,75,75,"{'minutes': 1, 'seconds': 47}",1,0,0,"{'minutes': 0, 'seconds': 33}","{'minutes': 1, 'seconds': 14}",3,75,TD,False,10,14,17,14,2022,touchdown,True,False,True,True
4014039377,401403937,Florida,SEC,Texas A&M,SEC,7,True,2,75,75,"{'minutes': 11, 'seconds': 58}",2,7,7,"{'minutes': 4, 'seconds': 49}","{'minutes': 7, 'seconds': 9}",15,68,FG,False,17,17,20,17,2022,field_goal,True,False,False,True
